ID;Área;Escenario;Pregunta;A;B;C;D;Respuesta correcta;Criterio técnico
A-23;Materiales;Falla;Fractura con “marcas de playa”. ¿Conclusión correcta?;Impacto único;Corrosión;Fatiga progresiva;Fluencia;C;Las marcas de playa son típicas de crecimiento por fatiga.
A-24;Materiales;Selección;Pieza expuesta a choque térmico repetido. ¿Material más adecuado?;Vidrio;Cerámica común;Acero;Cerámica técnica resistente a choque;D;Algunas cerámicas técnicas soportan gradientes térmicos elevados.
A-25;Tribología;Mantenimiento;Rodamientos con vida corta tras cambiar grasa “equivalente”. ¿Qué verificar primero?;Marca;Compatibilidad de grasas;Color;Cantidad;B;Incompatibilidad química degrada el espesante.
A-26;Tribología;Diagnóstico;Desgaste abrasivo acelerado sin cambio de carga. ¿Causa probable?;Exceso de lubricación;Contaminación sólida;Baja velocidad;Material blando;B;Partículas duras incrementan desgaste abrasivo.
A-27;Elementos de máquinas;Planta;Engranaje falla siempre en el mismo diente. ¿Qué indica?;Material defectuoso;Desalineación;Carga distribuida;Buena lubricación;B;La desalineación concentra carga en zonas específicas.
A-28;Elementos de máquinas;Montaje;Rodamiento presenta indentaciones en pistas sin girar. ¿Fenómeno?;Brinelling falso;Fatiga;Picado;Corrosión;A;Microvibraciones en reposo causan false brinelling.
A-29;Metrología;Producción;Ensamble falla por excentricidad pese a tolerancias OK. ¿Qué faltó?;Inspección visual;Control de concentricidad;Cambio de proveedor;Ajuste manual;B;La excentricidad requiere control geométrico específico.
A-30;Metrología;Calidad;Variación aumenta al cambiar turno. ¿Primera acción?;Ajustar máquina;Capacitar operador;Analizar MSA;Aumentar inspección;C;Debe verificarse el sistema de medición antes de corregir proceso.
A-31;Hidráulica;Planta;Cilindro pierde fuerza solo en caliente. ¿Diagnóstico?;Bomba dañada;Fugas internas por baja viscosidad;Aire atrapado;Válvula grande;B;La viscosidad baja en caliente incrementa fugas internas.
A-32;Hidráulica;Diseño;Bomba positiva sin válvula de alivio. ¿Riesgo principal?;Bajo caudal;Sobrepresión destructiva;Baja eficiencia;Cavitación;B;Las bombas positivas generan presión hasta fallo.
A-33;Neumática;Planta;Cilindro no alcanza fuerza nominal al final de carrera. ¿Causa probable?;Carrera corta;Caída de presión por estrangulamiento;Aire seco;Regulador estable;B;La pérdida de presión reduce la fuerza disponible.
A-34;Neumática;Seguridad;Intervención causa movimiento inesperado. ¿Control ausente?;Señalización;LOTO neumático;Manual;EPP;B;Debe eliminarse energía neumática residual.
A-35;Fluidos;Bombas;Tras aumentar velocidad, aparecen ruidos. ¿Qué revisar primero?;Potencia;NPSHa;Diámetro;Altura;B;Mayor velocidad eleva NPSHr y riesgo de cavitación.
A-36;Fluidos;Diseño;Sistema con pérdidas altas en accesorios. ¿Mejor corrección?;Aumentar presión;Rediseñar accesorios;Cambiar fluido;Aumentar velocidad;B;Minimizar pérdidas locales es más efectivo.
A-37;Electricidad;Motores;Motor falla tras variaciones de tensión frecuentes. ¿Qué instalar?;Fusible mayor;VFD o protección de tensión;Mayor potencia;Ventilador;B;Control y protección de tensión reducen estrés eléctrico.
A-38;Electricidad;Diagnóstico;Disparo térmico sin sobrecorriente medida. ¿Causa posible?;Sensor dañado;Temperatura ambiente alta;Buen FP;Aislamiento nuevo;B;La temperatura ambiente influye en el relé térmico.
A-39;Seguridad;Planta;Accidente persiste pese a procedimientos. ¿Acción prioritaria?;Reentrenar;Rediseñar el proceso;Aumentar señalización;Sancionar;B;La ingeniería de controles supera al procedimiento.
A-40;Ingeniería;Decisión;¿Qué métrica confirma mejora tras acción correctiva?;Intuición;Producción diaria;Indicadores antes/después;Costo inmediato;C;La mejora debe demostrarse con KPIs comparables.
A-41;Mecánica;Planta;Un eje presenta fisuras transversales cerca del hombro. ¿Qué rediseño priorizarías?;Aumentar dureza;Reducir radio;Agregar radio generoso;Aumentar carga;C;Radios amplios reducen concentradores de esfuerzo.
A-42;Mecánica;Vibraciones;Equipo vibra a 1× rpm tras mantenimiento. ¿Causa más probable?;Resonancia;Desbalance;Desgaste de rodamientos;Cavitación;B;El desbalance genera vibración a la frecuencia de giro.
A-43;Materiales;Falla;Fractura con “chevrons” apuntando al origen. ¿Conclusión?;Fatiga;Impacto frágil;Fluencia;Corrosión;B;Los chevrons indican propagación rápida desde un origen.
A-44;Materiales;Selección;Componente sometido a desgaste adhesivo y corrosión. ¿Mejor estrategia?;Material blando;Recubrimiento duro + inhibición;Aumentar carga;Superficie rugosa;B;Combinar recubrimiento y control químico reduce ambos mecanismos.
A-45;Tribología;Diagnóstico;Aceite con partículas ferrosas finas en análisis. ¿Indica?;Contaminación externa;Desgaste activo;Aceite nuevo;Error de muestreo;B;La presencia ferrosa señala desgaste interno en curso.
A-46;Tribología;Mantenimiento;Cambio a aceite más viscoso eleva temperatura. ¿Por qué?;Menor lubricidad;Mayor fricción interna;Aire atrapado;Menor caudal;B;Excesiva viscosidad incrementa pérdidas por cizalla.
A-47;Elementos de máquinas;Planta;Engranaje helicoidal con desgaste unilateral. ¿Qué revisar primero?;Material;Lubricante;Alineación axial;Módulo;C;Los helicoidales son sensibles a desalineación axial.
A-48;Elementos de máquinas;Montaje;Rodamiento falla tras montaje con prensa sobre aro incorrecto. ¿Error?;Falta de grasa;Método de montaje;Ajuste flojo;Velocidad;B;La fuerza debe aplicarse sobre el aro ajustado.
A-49;Metrología;Producción;Rechazos intermitentes tras cambio de calibre. ¿Acción inicial?;Ajustar máquina;Validar MSA;Cambiar operador;Aumentar tolerancia;B;Se debe confirmar la capacidad del sistema de medición.
A-50;Metrología;GD&T;Ensamble crítico falla por inclinación. ¿Qué tolerancia faltó?;Planitud;Paralelismo;Perpendicularidad;Posición;C;La perpendicularidad controla el ángulo entre elementos.
A-51;Hidráulica;Planta;Golpes de ariete tras cierre rápido. ¿Medida prioritaria?;Aumentar presión;Instalar acumulador;Cambiar fluido;Reducir diámetro;B;El acumulador amortigua transientes de presión.
A-52;Hidráulica;Diagnóstico;Bomba ruidosa solo en arranque en frío. ¿Causa probable?;Aire;Viscosidad alta;Cavitación permanente;Baja potencia;B;Alta viscosidad en frío aumenta pérdidas y ruido.
A-53;Neumática;Planta;Ciclo lento pese a presión correcta. ¿Qué medir primero?;Fuerza;Caudal efectivo;Carrera;Temperatura;B;La velocidad depende del caudal disponible.
A-54;Neumática;Eficiencia;Red con múltiples derivaciones pierde presión. ¿Solución más efectiva?;Aumentar presión;Redimensionar tuberías;Cambiar válvulas;Cambiar compresor;B;El diámetro insuficiente genera pérdidas distribuidas.
A-55;Fluidos;Bombas;Caudal cae al aumentar temperatura del fluido. ¿Por qué?;Mayor densidad;Menor viscosidad y más fugas;Menor potencia;Mejor NPSH;B;La baja viscosidad incrementa recirculaciones internas.
A-56;Fluidos;Diseño;Sistema con ruido en válvulas. ¿Acción prioritaria?;Aumentar presión;Reducir velocidad del flujo;Cambiar fluido;Aumentar diámetro local;B;Velocidades altas generan ruido y cavitación local.
A-57;Electricidad;Motores;Motor con VFD presenta calentamiento a baja velocidad. ¿Causa?;Baja tensión;Ventilación insuficiente;Buen FP;Sobrecarga;B;A bajas rpm, la ventilación propia es menor.
A-58;Electricidad;Diagnóstico;Disparo diferencial intermitente. ¿Qué revisar primero?;Carga;Aislamiento a tierra;FP;Potencia;B;Fugas a tierra disparan el diferencial.
A-59;Seguridad;Planta;Incidentes al intervenir equipos similares. ¿Mejor enfoque?;Más EPP;Estandarizar diseño;Más señalización;Sanciones;B;La estandarización reduce errores humanos.
A-60;Ingeniería;Decisión;¿Qué criterio priorizar en rediseño por confiabilidad?;Costo inicial;MTBF y riesgo;Estética;Disponibilidad de stock;B;La confiabilidad se optimiza con MTBF y análisis de riesgo.
A-61;Mecánica;Planta;Una estructura metálica fisura en soldaduras tras meses de operación. ¿Causa más probable?;Sobrecarga puntual;Fatiga por vibración;Error de material;Corrosión uniforme;B;Las soldaduras son puntos críticos ante cargas cíclicas y vibraciones.
A-62;Mecánica;Diseño;Un eje funciona bien estáticamente pero falla en servicio. ¿Qué análisis faltó?;Estático;Térmico;Fatiga;Material;C;Las cargas cíclicas requieren análisis de fatiga.
A-63;Materiales;Falla;Superficie con grietas ramificadas y óxido. ¿Mecanismo dominante?;Fatiga térmica;Corrosión bajo tensión;Abrasión;Fluencia;B;La corrosión bajo tensión combina ambiente agresivo y esfuerzo.
A-64;Materiales;Selección;Equipo sometido a desgaste severo y alta temperatura. ¿Mejor solución?;Acero al carbono;Recubrimiento cerámico;Aluminio;Plástico técnico;B;Los recubrimientos cerámicos resisten temperatura y desgaste.
A-65;Tribología;Diagnóstico;Grasa con cambio de consistencia en servicio. ¿Indica?;Contaminación de agua;Sobrepresión;Exceso de carga;Buen desempeño;A;El agua degrada el espesante y cambia la consistencia.
A-66;Tribología;Mantenimiento;Rodamiento con marcas axiales en pistas. ¿Causa probable?;Falta de carga;Corrientes eléctricas;Desalineación;Lubricación excesiva;B;Las corrientes parásitas generan estriado eléctrico.
A-67;Elementos de máquinas;Planta;Acoplamiento falla repetidamente pese a alineación inicial correcta. ¿Qué revisar?;Tipo de acoplamiento;Rigidez de base;Velocidad;Lubricante;B;La deformación de la base provoca desalineación operativa.
A-68;Elementos de máquinas;Diseño;Engranaje falla por diente roto en arranque. ¿Qué sobredimensionarías?;Módulo;Lubricación;Velocidad;Material del eje;A;El módulo controla la resistencia del diente.
A-69;Metrología;Producción;Variación dimensional crece con temperatura ambiente. ¿Medida clave?;Cambiar material;Control térmico;Aumentar tolerancia;Cambiar operador;B;El control térmico estabiliza las mediciones.
A-70;Metrología;Calidad;MSA muestra baja repetibilidad. ¿Acción prioritaria?;Ajustar máquina;Cambiar operador;Mejorar instrumento;Aumentar tolerancia;C;La repetibilidad depende del instrumento.
A-71;Hidráulica;Planta;Fugas aumentan tras cambio de aceite. ¿Qué revisar primero?;Marca;Viscosidad;Color;Nivel;B;Una viscosidad inadecuada incrementa fugas internas/externas.
A-72;Hidráulica;Diseño;Actuador requiere fuerza estable ante carga variable. ¿Solución?;Bomba mayor;Válvula reguladora de presión;Mayor caudal;Aceite distinto;B;La regulación de presión mantiene fuerza constante.
A-73;Neumática;Planta;Red presenta ruido excesivo en válvulas. ¿Causa probable?;Aire seco;Alta velocidad del aire;Baja presión;Buen filtrado;B;Velocidades altas generan ruido y desgaste.
A-74;Neumática;Eficiencia;Compresor opera continuamente aun sin consumo. ¿Prioridad?;Aumentar presión;Revisar fugas y válvula de descarga;Cambiar motor;Cambiar filtros;B;Fugas o descarga defectuosa mantienen carga innecesaria.
A-75;Fluidos;Bombas;Bomba pierde cebado tras parada prolongada. ¿Qué agregar?;Mayor potencia;Válvula check en succión;Menor diámetro;Mayor velocidad;B;La válvula evita el retorno del fluido.
A-76;Fluidos;Diseño;Golpes hidráulicos frecuentes dañan tuberías. ¿Estrategia correcta?;Aumentar espesor;Controlar tiempos de cierre;Aumentar presión;Reducir diámetro;B;El cierre lento reduce transientes de presión.
A-77;Electricidad;Motores;Motor con VFD falla rodamientos prematuramente. ¿Causa probable?;Sobrecarga;Corrientes de eje;Baja potencia;Buen aislamiento;B;Los VFD generan corrientes parásitas dañinas.
A-78;Electricidad;Protección;Equipos sensibles fallan por picos de tensión. ¿Solución?;Fusible rápido;Relé térmico;Supresores de sobretensión;Mayor cable;C;Los supresores protegen contra transientes.
A-79;Seguridad;Planta;Accidente ocurre por “atajo operativo” frecuente. ¿Medida realista?;Sanción;Rediseñar tarea;Señalizar;Más EPP;B;Si el atajo existe, el diseño del proceso es deficiente.
A-80;Ingeniería;Decisión;Proyecto con fallas recurrentes y alto costo. ¿Primer enfoque?;Cambiar proveedor;Rediseño basado en RCA;Aumentar stock;Más inspección;B;Sin eliminar la causa raíz, el costo se perpetúa.
A-81;Mecánica;Planta;Un eje se deforma permanentemente sin romperse. ¿Modo de falla?;Fatiga;Fractura frágil;Fluencia;Impacto;C;La deformación plástica sostenida indica fluencia.
A-82;Mecánica;Vibraciones;Vibración aumenta solo a cierta velocidad crítica. ¿Fenómeno?;Desbalance;Resonancia;Desalineación;Holgura;B;La resonancia ocurre al coincidir frecuencia natural y excitación.
A-83;Materiales;Falla;Superficie con cavidades y ataque localizado. ¿Tipo de corrosión?;Uniforme;Galvánica;Por picadura;Intergranular;C;La corrosión por picadura es localizada y peligrosa.
A-84;Materiales;Selección;Eje sometido a torsión alternante severa. ¿Priorizar?;Dureza;Resistencia a fatiga;Conductividad;Densidad;B;La vida del eje depende de su resistencia a fatiga.
A-85;Tribología;Diagnóstico;Aceite con espuma persistente. ¿Causa más probable?;Alta viscosidad;Aireación;Desgaste;Bajo nivel;B;El aire atrapado genera espuma y pérdida de lubricación.
A-86;Tribología;Mantenimiento;Rodamiento falla tras relubricación excesiva. ¿Por qué?;Falta de grasa;Aumento de temperatura;Mejor sellado;Menor fricción;B;El exceso de grasa eleva fricción y temperatura.
A-87;Elementos de máquinas;Planta;Acoplamiento flexible se degrada rápidamente. ¿Qué revisar primero?;Lubricante;Desalineación;Material;Potencia;B;Los acoplamientos compensan, pero no corrigen grandes desalineaciones.
A-88;Elementos de máquinas;Diseño;Transmisión falla al arrancar con carga. ¿Qué sobredimensionar?;Velocidad;Torque de arranque;Lubricación;Material del eje;B;El arranque impone el mayor esfuerzo torsional.
A-89;Metrología;Producción;Medidas correctas en laboratorio, incorrectas en planta. ¿Causa?;Error humano;Vibración/ambiente;Instrumento defectuoso;Mala tolerancia;B;El ambiente de planta afecta la medición.
A-90;Metrología;Calidad;Proceso estable pero fuera de tolerancia. ¿Acción correcta?;Aumentar tolerancia;Ajustar el proceso;Cambiar operador;Más inspección;B;El proceso debe centrarse en la tolerancia.
A-91;Hidráulica;Planta;Cilindro pierde fuerza en picos de carga. ¿Qué agregar?;Bomba mayor;Acumulador;Válvula check;Más caudal;B;El acumulador absorbe demandas instantáneas.
A-92;Hidráulica;Diagnóstico;Aceite se degrada rápidamente. ¿Causa probable?;Baja presión;Alta temperatura;Buen filtrado;Aceite nuevo;B;La temperatura acelera oxidación del aceite.
A-93;Neumática;Planta;Caídas de presión aleatorias. ¿Qué instrumento usar?;Termómetro;Caudalímetro;Manómetro en puntos clave;Voltímetro;C;La medición distribuida permite localizar pérdidas.
A-94;Neumática;Diseño;Sistema crítico no puede detenerse por fugas. ¿Solución?;Aumentar presión;Red redundante;Compresor mayor;Filtro extra;B;La redundancia aumenta confiabilidad.
A-95;Fluidos;Bombas;Vibración axial elevada en bomba centrífuga. ¿Causa común?;Desbalance;Empuje hidráulico;Cavitación;Falta de potencia;B;El empuje axial mal compensado daña rodamientos.
A-96;Fluidos;Diseño;Sistema sufre cavitación intermitente. ¿Acción más efectiva?;Aumentar rpm;Elevar nivel de succión;Reducir diámetro;Cambiar fluido;B;Aumentar NPSHa reduce cavitación.
A-97;Electricidad;Motores;Motor rebobinado falla prematuramente. ¿Error típico?;Mayor potencia;Aislamiento incorrecto;Mejor ventilación;Buen FP;B;Un aislamiento inadecuado reduce la vida útil.
A-98;Electricidad;Diagnóstico;Armónico elevado daña equipos. ¿Mitigación?;Fusible;Filtro de armónicos;Relé térmico;Transformador mayor;B;Los filtros reducen distorsión armónica.
A-99;Seguridad;Planta;Mantenimiento genera más incidentes que operación. ¿Qué revisar?;Turnos;Procedimientos y permisos;EPP;Producción;B;El mantenimiento concentra mayor riesgo operativo.
A-100;Ingeniería;Decisión;¿Qué indicador refleja mejor confiabilidad del equipo?;Costo;MTBF;Producción diaria;Inventario;B;El MTBF mide el tiempo medio entre fallas.
A-101;Mecánica;Planta;Un eje falla siempre al arrancar en frío. ¿Causa más probable?;Fatiga térmica;Pico de torque de arranque;Baja dureza;Corrosión;B;El arranque genera el mayor esfuerzo torsional instantáneo.
A-102;Mecánica;Diseño;Estructura cumple resistencia pero falla por vibración. ¿Qué enfoque faltó?;Cálculo estático;Análisis dinámico;Material;Factor de seguridad;B;La vibración requiere análisis dinámico/modal.
A-103;Materiales;Falla;Fractura con deformación plástica marcada antes de romper. ¿Tipo?;Frágil;Fatiga;Dúctil;Corrosión;C;La deformación previa indica falla dúctil.
A-104;Materiales;Selección;Componente crítico en ambiente marino. ¿Prioridad?;Dureza;Bajo costo;Resistencia a corrosión;Conductividad;C;El ambiente marino es altamente corrosivo.
A-105;Tribología;Diagnóstico;Incremento de temperatura sin aumento de carga. ¿Causa probable?;Mayor potencia;Lubricante inadecuado;Desalineación eléctrica;Buen sellado;B;Un lubricante incorrecto eleva pérdidas internas.
A-106;Tribología;Mantenimiento;Intervalos de engrase muy cortos no mejoran la vida. ¿Por qué?;Falta de grasa;Sobreengrase;Buen diseño;Baja carga;B;El exceso de grasa genera calor y degradación.
A-107;Elementos de máquinas;Planta;Acoplamiento elástico falla aunque está “alineado en frío”. ¿Qué faltó?;Balanceo;Alineación en caliente;Lubricación;Mayor potencia;B;La dilatación térmica altera la alineación en operación.
A-108;Elementos de máquinas;Diseño;Engranaje con alto ruido pero sin desgaste. ¿Causa probable?;Desalineación;Perfil de diente incorrecto;Falta de lubricación;Material blando;B;El error de perfil genera ruido aun sin desgaste.
A-109;Metrología;Producción;Proceso varía solo en ciertos lotes de materia prima. ¿Acción clave?;Ajustar máquina;Analizar proveedor;Aumentar inspección;Cambiar operador;B;La variabilidad puede venir del insumo.
A-110;Metrología;Calidad;MSA aceptable pero rechazos altos continúan. ¿Siguiente paso?;Cambiar instrumento;Analizar proceso;Aumentar tolerancia;Más inspección;B;El problema ya no es la medición, sino el proceso.
A-111;Hidráulica;Planta;Pérdida de velocidad bajo carga variable. ¿Solución técnica?;Bomba mayor;Válvula compensada en presión;Aceite más denso;Cilindro mayor;B;La compensación mantiene caudal constante.
A-112;Hidráulica;Diagnóstico;Golpes al invertir sentido del cilindro. ¿Qué instalar?;Check;Válvula amortiguadora;Filtro;Regulador;B;La amortiguación reduce impactos hidráulicos.
A-113;Neumática;Planta;Sistema sensible no tolera caídas de presión. ¿Mejor estrategia?;Subir presión;Red anillada;Compresor mayor;Más filtros;B;Las redes anilladas mejoran estabilidad.
A-114;Neumática;Diagnóstico;Válvulas fallan prematuramente. ¿Causa típica?;Aire seco;Contaminación;Baja presión;Buen filtrado;B;La suciedad daña sellos y asientos.
A-115;Fluidos;Bombas;Bomba centrífuga opera lejos del BEP. ¿Consecuencia principal?;Mayor eficiencia;Mayor vibración y desgaste;Menor ruido;Mejor NPSH;B;Fuera del BEP aumentan fuerzas internas.
A-116;Fluidos;Diseño;Sistema tiene cavitación solo en verano. ¿Causa raíz?;Mayor caudal;Menor viscosidad;Menor NPSHa por temperatura;Mejor lubricación;C;La temperatura reduce NPSHa disponible.
A-117;Electricidad;Motores;Motor opera bien en vacío, falla en carga. ¿Qué revisar primero?;Aislamiento;Protección térmica;Capacidad de torque;Ventilación;C;Puede no cubrir el torque requerido.
A-118;Electricidad;Diagnóstico;Disparos aleatorios de variador. ¿Causa probable?;Sobrecarga;Armónicos/red inestable;Buen cableado;Baja temperatura;B;Los VFD son sensibles a calidad de red.
A-119;Seguridad;Planta;Incidentes ocurren solo en tareas no rutinarias. ¿Qué falta?;EPP;Permiso de trabajo;Producción;Señalización;B;Las tareas no rutinarias requieren control formal.
A-120;Ingeniería;Decisión;¿Qué enfoque reduce fallas crónicas en planta?;Más inspección;Mantenimiento basado en confiabilidad;Más repuestos;Más personal;B;El RCM ataca causas y modos de falla críticos.
A-121;Mecánica;Planta;Un eje funciona años y falla tras cambio de rodamientos. ¿Qué error es más probable?;Material;Lubricante;Ajuste/interferencia incorrecta;Potencia;C;Un ajuste excesivo introduce tensiones internas y reduce vida a fatiga.
A-122;Mecánica;Vibraciones;Aumento de vibración a 2× rpm. ¿Qué indica típicamente?;Desbalance;Resonancia;Desalineación;Holgura;C;La desalineación suele excitar armónicos a 2×.
A-123;Materiales;Falla;Fractura intergranular tras exposición química. ¿Mecanismo?;Fatiga;Corrosión bajo tensión;Abrasión;Fluencia;B;El ambiente agresivo ataca límites de grano bajo tensión.
A-124;Materiales;Selección;Componente sometido a impacto repetitivo y desgaste moderado. ¿Solución óptima?;Material duro frágil;Material dúctil con tratamiento superficial;Plástico;Cerámica;B;Se requiere núcleo tenaz y superficie resistente.
A-125;Tribología;Diagnóstico;Aceite con aumento de TAN (acidez). ¿Qué indica?;Aireación;Oxidación del aceite;Contaminación sólida;Error de muestreo;B;El aumento de TAN señala oxidación y degradación química.
A-126;Tribología;Mantenimiento;Rodamientos con fallas aleatorias tras cambio de proveedor. ¿Prioridad?;Precio;Ver especificación real del lubricante;Cantidad;Marca conocida;B;La equivalencia comercial no garantiza equivalencia técnica.
A-127;Elementos de máquinas;Planta;Acoplamiento dentado con desgaste acelerado. ¿Causa probable?;Baja carga;Desalineación angular;Buen engrase;Baja velocidad;B;Los acoplamientos dentados son sensibles a desalineación angular.
A-128;Elementos de máquinas;Diseño;Engranaje presenta micropitting. ¿Acción prioritaria?;Aumentar velocidad;Mejorar lubricación;Cambiar material;Reducir módulo;B;El micropitting está ligado al régimen de lubricación.
A-129;Metrología;Producción;Variación aparece solo al medir piezas grandes. ¿Qué revisar?;Operador;Método de sujeción;Instrumento pequeño;Tolerancia;B;La sujeción induce deformaciones durante la medición.
A-130;Metrología;Calidad;Proceso con Cp y Cpk altos pero reclamos en campo. ¿Falla típica?;Producción;Diseño del producto;Inspección;Medición;B;Un proceso capaz no compensa un diseño deficiente.
A-131;Hidráulica;Planta;Sistema pierde presión lentamente sin fugas visibles. ¿Causa probable?;Bomba;Válvula de alivio con fuga interna;Aceite frío;Manómetro;B;Las fugas internas no son visibles externamente.
A-132;Hidráulica;Diseño;Actuador requiere movimientos suaves a baja velocidad. ¿Qué componente clave?;Bomba mayor;Válvula proporcional;Acumulador;Check;B;Las válvulas proporcionales controlan caudal finamente.
A-133;Neumática;Planta;Cilindro vibra al final de carrera. ¿Solución correcta?;Subir presión;Amortiguación regulable;Mayor diámetro;Menor caudal;B;La amortiguación reduce impactos y vibraciones.
A-134;Neumática;Eficiencia;Red larga presenta grandes pérdidas. ¿Mejor corrección?;Subir presión;Incrementar diámetro de tubería;Cambiar compresor;Más lubricación;B;El diámetro impacta directamente en pérdidas distribuidas.
A-135;Fluidos;Bombas;Bomba requiere cebado frecuente. ¿Causa raíz probable?;Falta de potencia;Fuga de aire en succión;Alta presión;Baja temperatura;B;Las fugas de aire rompen el cebado.
A-136;Fluidos;Diseño;Sistema presenta ruido solo en válvulas. ¿Ajuste prioritario?;Aumentar presión;Reducir velocidad local;Cambiar fluido;Mayor diámetro global;B;El ruido se asocia a altas velocidades locales.
A-137;Electricidad;Motores;Motor presenta corrientes equilibradas pero vibra. ¿Qué descartar primero?;Eléctrico;Mecánico;Aislamiento;FP;A;Si eléctricamente está balanceado, el origen es mecánico.
A-138;Electricidad;Diagnóstico;Fallas repetidas de aislamiento tras arranques frecuentes. ¿Causa?;Baja carga;Estrés térmico;Buen diseño;Ventilación;B;Los arranques elevan temperatura del bobinado.
A-139;Seguridad;Planta;Incidentes ocurren por trabajos simultáneos. ¿Control clave?;EPP;Coordinación y permisos cruzados;Señalización;Inspección;B;La interacción de trabajos requiere control coordinado.
A-140;Ingeniería;Decisión;Proyecto falla por “soluciones parciales”. ¿Qué faltó?;Presupuesto;Visión sistémica;Personal;Tecnología;B;Las fallas complejas requieren enfoque sistémico.
